name,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,month,id
OrdinaryPeople,Drama,1980,7.7,49000.0,RobertRedford,JudithGuest,DonaldSutherland,UnitedStates,6000000.0,54766923.0,ParamountPictures,124.0,September,13
DressedtoKill,Crime,1980,7.1,37000.0,BrianDePalma,BrianDePalma,MichaelCaine,UnitedStates,6500000.0,31899000.0,FilmwaysPictures,104.0,July,14
SomewhereinTime,Drama,1980,7.2,27000.0,JeannotSzwarc,RichardMatheson,ChristopherReeve,UnitedStates,5100000.0,9709597.0,RastarPictures,103.0,October,15
9to5,Comedy,1980,6.9,29000.0,ColinHiggins,PatriciaResnick,JaneFonda,UnitedStates,10000000.0,103300686.0,IPCFilms,109.0,December,16
TheFog,Horror,1980,6.8,66000.0,JohnCarpenter,JohnCarpenter,AdrienneBarbeau,UnitedStates,1000000.0,21448782.0,AVCOEmbassyPictures,89.0,February,17
Cruising,Crime,1980,6.5,20000.0,WilliamFriedkin,WilliamFriedkin,AlPacino,WestGermany,11000000.0,19814523.0,LorimarFilmEntertainment,102.0,February,18
HeavensGate,Adventure,1980,6.8,14000.0,MichaelCimino,MichaelCimino,KrisKristofferson,UnitedStates,44000000.0,3484523.0,PartisanProductions,219.0,April,19
TheFinalCountdown,Action,1980,6.7,22000.0,DonTaylor,ThomasHunter,KirkDouglas,UnitedStates,12000000.0,16647800.0,BrynaProductions,103.0,August,20
Xanadu,Fantasy,1980,5.3,12000.0,RobertGreenwald,RichardChristianDanus,OliviaNewton-John,UnitedStates,20000000.0,22762571.0,UniversalPictures,96.0,August,21
Brubaker,Crime,1980,7.2,17000.0,StuartRosenberg,WDRichter,RobertRedford,UnitedStates,9000000.0,37121708.0,TwentiethCenturyFox,131.0,June,22
AmericanGigolo,Crime,1980,6.2,22000.0,PaulSchrader,PaulSchrader,RichardGere,UnitedStates,4800000.0,22743674.0,ParamountPictures,117.0,February,23
CattleAnnieandLittleBritches,Drama,1980,6.1,604.0,LamontJohnson,DavidEyre,ScottGlenn,UnitedStates,5100000.0,534816.0,CattleAnnieProductions,97.0,April,24
PrivateBenjamin,Comedy,1980,6.2,24000.0,HowardZieff,NancyMeyers,GoldieHawn,UnitedStates,10000000.0,69847348.0,WarnerBros,109.0,October,25
TheHollywoodKnights,Comedy,1980,6.3,4300.0,FloydMutrux,FloydMutrux,TonyDanza,UnitedStates,4000000.0,10000000.0,PolyGramFilmedEntertainment,91.0,May,26
MotelHell,Comedy,1980,6.0,11000.0,KevinConnor,RobertJaffe,RoryCalhoun,UnitedStates,3000000.0,6342668.0,CampHill,101.0,October,27
TheStuntMan,Action,1980,7.1,9000.0,RichardRush,LawrenceBMarcus,PeterOToole,UnitedStates,3500000.0,7063886.0,MelvinSimonProductions,131.0,June,28
TheIsland,Action,1980,5.3,3900.0,MichaelRitchie,PeterBenchley,MichaelCaine,UnitedStates,22000000.0,15716828.0,UniversalPictures,109.0,June,29
TheNudeBomb,Action,1980,5.1,3100.0,CliveDonner,MelBrooks,DonAdams,UnitedStates,15000000.0,14662035.0,UniversalPictures,94.0,May,30
StardustMemories,Comedy,1980,7.3,22000.0,WoodyAllen,WoodyAllen,WoodyAllen,UnitedStates,10000000.0,10389003.0,JackRollins&CharlesHJoffeProductions,89.0,September,31
MelvinandHoward,Comedy,1980,6.8,4500.0,JonathanDemme,BoGoldman,PaulLeMat,UnitedStates,7000000.0,4309490.0,UniversalPictures,95.0,September,32
BroncoBilly,Action,1980,6.1,11000.0,ClintEastwood,DennisHackin,ClintEastwood,UnitedStates,6500000.0,24265659.0,WarnerBros,116.0,June,33
WhenTimeRanOut,Action,1980,4.6,2600.0,JamesGoldstone,GordonThomas,PaulNewman,UnitedStates,20000000.0,3763988.0,InternationalCinema,121.0,March,34
OhHeavenlyDog,Comedy,1980,5.4,2400.0,JoeCamp,RodBrowning,ChevyChase,UnitedStates,6000000.0,6216067.0,MulberrySquareProductions,103.0,July,35
TheOctagon,Action,1980,5.1,5200.0,EricKarson,LeighChapman,ChuckNorris,UnitedStates,4000000.0,18971000.0,AmericanCinemaProductions,103.0,August,36
TheLastFlightofNoahsArk,Adventure,1980,5.8,1300.0,CharlesJarrott,ErnestKGann,ElliottGould,UnitedStates,6000000.0,11000000.0,WaltDisneyProductions,97.0,June,37
Willie&Phil,Comedy,1980,5.9,415.0,PaulMazursky,JeanGruault,MichaelOntkean,UnitedStates,5500000.0,4400000.0,TwentiethCenturyFox,115.0,August,38
Phobia,Drama,1980,4.0,546.0,JohnHuston,GarySherman,PaulMichaelGlaser,Canada,5100000.0,59167.0,BoroughParkProductions,94.0,September,39
IndianaJonesandtheRaidersoftheLostArk,Action,1981,8.4,905000.0,StevenSpielberg,LawrenceKasdan,HarrisonFord,UnitedStates,18000000.0,389925971.0,ParamountPictures,115.0,June,40
AnAmericanWerewolfinLondon,Comedy,1981,7.5,97000.0,JohnLandis,JohnLandis,DavidNaughton,UnitedKingdom,10000000.0,30669378.0,PolygramPictures,97.0,August,41
EscapefromNewYork,Action,1981,7.2,131000.0,JohnCarpenter,JohnCarpenter,KurtRussell,UnitedStates,6000000.0,25244626.0,AVCOEmbassyPictures,99.0,July,42
TheEvilDead,Horror,1981,7.5,192000.0,SamRaimi,SamRaimi,BruceCampbell,UnitedStates,350000.0,2956630.0,RenaissancePictures,85.0,April,43
Porkys,Comedy,1981,6.2,40000.0,BobClark,BobClark,DanMonahan,Canada,2500000.0,111289673.0,AstralBellevuePathe,94.0,March,44
BlowOut,Crime,1981,7.4,47000.0,BrianDePalma,BrianDePalma,JohnTravolta,UnitedStates,18000000.0,12000000.0,FilmwaysPictures,108.0,July,45
ClashoftheTitans,Action,1981,6.9,42000.0,DesmondDavis,BeverleyCross,LaurenceOlivier,UnitedKingdom,15000000.0,41092328.0,CharlesHSchneerProductions,118.0,June,46
Excalibur,Adventure,1981,7.4,59000.0,JohnBoorman,ThomasMalory,NigelTerry,UnitedKingdom,11000000.0,34971136.0,Cinema84,140.0,April,47
MadMax2,Action,1981,7.6,170000.0,GeorgeMiller,TerryHayes,MelGibson,Australia,3000000.0,23668369.0,KennedyMillerProductions,96.0,May,48
Stripes,Comedy,1981,6.9,68000.0,IvanReitman,LenBlum,BillMurray,UnitedStates,10000000.0,85297000.0,ColumbiaPictures,106.0,June,49
TheCannonballRun,Action,1981,6.2,34000.0,HalNeedham,BrockYates,BurtReynolds,UnitedStates,18000000.0,72179579.0,GoldenHarvestCompany,95.0,June,50
Thief,Action,1981,7.4,27000.0,MichaelMann,FrankHohimer,JamesCaan,UnitedStates,5500000.0,11492915.0,Mann/CaanProductions,123.0,March,51
TimeBandits,Adventure,1981,7.0,60000.0,TerryGilliam,MichaelPalin,SeanConnery,UnitedKingdom,5000000.0,42368025.0,HandMadeFilms,110.0,November,52
Fridaythe13thPart2,Horror,1981,6.1,61000.0,SteveMiner,RonKurz,BetsyPalmer,UnitedStates,1250000.0,21722776.0,GeorgetownProductionsInc,87.0,May,53
ForYourEyesOnly,Action,1981,6.7,94000.0,JohnGlen,RichardMaibaum,RogerMoore,UnitedKingdom,28000000.0,54813222.0,EonProductions,127.0,June,54
HalloweenII,Horror,1981,6.5,77000.0,RickRosenthal,JohnCarpenter,JamieLeeCurtis,UnitedStates,2500000.0,25533818.0,DinoDeLaurentiisCompany,92.0,October,55
Taps,Drama,1981,6.8,17000.0,HaroldBecker,DarrylPonicsan,GeorgeCScott,UnitedStates,14000000.0,35856053.0,MajorStudioPartners,126.0,December,56
Reds,Biography,1981,7.3,21000.0,WarrenBeatty,WarrenBeatty,WarrenBeatty,UnitedStates,32000000.0,40382659.0,BarclaysMercantileIndustrialFinance,195.0,December,57
TheFoxandtheHound,Animation,1981,7.3,87000.0,Directors,DanielPMannix,MickeyRooney,UnitedStates,12000000.0,63456988.0,WaltDisneyAnimationStudios,83.0,July,58
ChariotsofFire,Biography,1981,7.2,56000.0,HughHudson,ColinWelland,BenCross,UnitedKingdom,5500000.0,59303359.0,EnigmaProductions,125.0,April,59
AbsenceofMalice,Drama,1981,6.9,12000.0,SydneyPollack,KurtLuedtke,PaulNewman,UnitedStates,12000000.0,40716963.0,ColumbiaPictures,116.0,December,60
TarzantheApeMan,Adventure,1981,3.4,5300.0,JohnDerek,TomRowe,BoDerek,UnitedStates,6500000.0,36565280.0,Metro-Goldwyn-Mayer(MGM),115.0,July,61
Victory,Drama,1981,6.7,29000.0,JohnHuston,YaboYablonsky,MichaelCaine,UnitedKingdom,10000000.0,10853418.0,LorimarFilmEntertainment,116.0,July,62
Arthur,Comedy,1981,6.9,27000.0,SteveGordon,SteveGordon,DudleyMoore,UnitedStates,7000000.0,95461682.0,OrionPictures,97.0,July,63
HistoryoftheWorld:PartI,Comedy,1981,6.9,47000.0,MelBrooks,MelBrooks,MelBrooks,UnitedStates,11000000.0,31672907.0,Brooksfilms,92.0,June,64
TheHowling,Horror,1981,6.6,32000.0,JoeDante,GaryBrandner,DeeWallace,UnitedStates,1000000.0,17985893.0,EmbassyPictures,91.0,April,65
Dragonslayer,Action,1981,6.7,16000.0,MatthewRobbins,HalBarwood,PeterMacNicol,UnitedKingdom,18000000.0,14110013.0,ParamountPictures,109.0,June,66
CuttersWay,Crime,1981,6.9,5300.0,IvanPasser,NewtonThornburg,JeffBridges,UnitedStates,3000000.0,1752634.0,GurianEntertainment,109.0,February,67
QuestforFire,Adventure,1981,7.3,21000.0,Jean-JacquesAnnaud,GerardBrach,EverettMcGill,Canada,12500000.0,20962615.0,InternationalCinemaCorporation(ICC),100.0,February,68
TheFinalConflict,Horror,1981,5.6,19000.0,GrahamBaker,DavidSeltzer,SamNeill,UnitedKingdom,5000000.0,20471382.0,TwentiethCenturyFox,108.0,March,69
MommieDearest,Biography,1981,6.7,15000.0,FrankPerry,ChristinaCrawford,FayeDunaway,UnitedStates,5000000.0,19032261.0,ParamountPictures,129.0,September,70
PrivateLessons,Comedy,1981,5.2,3400.0,AlanMyerson,DanGreenburg,SylviaKristel,UnitedStates,2800000.0,26279000.0,Barry&EnrightProductions,87.0,June,71
ThePostmanAlwaysRingsTwice,Crime,1981,6.6,22000.0,BobRafelson,DavidMamet,JackNicholson,WestGermany,12000000.0,12376625.0,CIPFilmproduktionGmbH,122.0,March,72
DeadlyBlessing,Horror,1981,5.6,5200.0,WesCraven,GlennMBenest,MarenJensen,UnitedStates,2500000.0,8279042.0,PolyGramFilmedEntertainment,100.0,August,73
Eyewitness,Crime,1981,6.0,4500.0,PeterYates,SteveTesich,WilliamHurt,UnitedStates,8500000.0,6400000.0,TwentiethCenturyFox,103.0,February,74
Outland,Action,1981,6.6,28000.0,PeterHyams,PeterHyams,SeanConnery,UnitedKingdom,16000000.0,17374595.0,TheLaddCompany,109.0,May,75
SOB,Comedy,1981,6.4,5700.0,BlakeEdwards,BlakeEdwards,JulieAndrews,UnitedStates,12000000.0,14867086.0,ArtistaManagement,122.0,July,76
TheBeyond,Horror,1981,6.8,21000.0,LucioFulci,DardanoSacchetti,CatrionaMacColl,Italy,400000.0,123843.0,FulviaFilm,87.0,November,77
OnefromtheHeart,Drama,1981,6.5,5700.0,FrancisFordCoppola,ArmyanBernstein,FredericForrest,UnitedStates,26000000.0,636796.0,ZoetropeStudios,107.0,February,78
TrueConfessions,Crime,1981,6.3,7500.0,UluGrosbard,JohnGregoryDunne,RobertDeNiro,UnitedStates,10000000.0,12850276.0,Chartoff-WinklerProductions,108.0,September,79
Nighthawks,Action,1981,6.4,18000.0,BruceMalmuth,DavidShaber,SylvesterStallone,UnitedStates,5000000.0,19905359.0,UniversalPictures,99.0,April,80
Neighbors,Comedy,1981,5.6,7600.0,JohnGAvildsen,ThomasBerger,JohnBelushi,UnitedStates,8500000.0,29916207.0,ColumbiaPictures,94.0,December,81
Wolfen,Horror,1981,6.3,9400.0,MichaelWadleigh,WhitleyStrieber,AlbertFinney,UnitedStates,17000000.0,10626725.0,OrionPictures,115.0,July,82
PrinceoftheCity,Crime,1981,7.5,7600.0,SidneyLumet,JayPressonAllen,TreatWilliams,UnitedStates,8600000.0,8124257.0,OrionPictures,167.0,August,83
EyesofaStranger,Horror,1981,6.0,2400.0,KenWiederhorn,RonKurz,LaurenTewes,UnitedStates,800000.0,1118634.0,GeorgetownProductionsInc,84.0,March,84
UndertheRainbow,Comedy,1981,5.4,2600.0,SteveRash,FredBauer,ChevyChase,UnitedStates,20000000.0,18826490.0,Innovisions,98.0,July,85
CarbonCopy,Comedy,1981,5.6,2600.0,MichaelSchultz,StanleyShapiro,GeorgeSegal,UnitedStates,6000000.0,9566593.0,DeHaven/ShapiroProductions,92.0,September,86
ModernProblems,Comedy,1981,5.1,4900.0,KenShapiro,KenShapiro,ChevyChase,UnitedStates,8000000.0,26154211.0,TwentiethCenturyFox,93.0,December,87
PenniesfromHeaven,Drama,1981,6.5,5300.0,HerbertRoss,DennisPotter,SteveMartin,UnitedStates,22000000.0,9171289.0,Metro-Goldwyn-Mayer(MGM),108.0,January,88
TheLegendoftheLoneRanger,Action,1981,5.1,2000.0,WilliamAFraker,IvanGoff,KlintonSpilsbury,UnitedStates,18000000.0,12617845.0,EavesMovieRanch,98.0,May,89
Sphinx,Adventure,1981,5.2,1300.0,FranklinJSchaffner,JohnByrum,Lesley-AnneDown,UnitedKingdom,14000000.0,2022771.0,OrionPictures,118.0,February,90
ZootSuit,Drama,1981,6.8,1100.0,LuisValdez,LuisValdez,DanielValdez,UnitedStates,2700000.0,3256082.0,UniversalPictures,103.0,January,91
BuddyBuddy,Comedy,1981,6.5,4500.0,BillyWilder,FrancisVeber,JackLemmon,UnitedStates,10000000.0,7258543.0,HeronProductions,96.0,December,92
BustinLoose,Comedy,1981,6.1,2900.0,OzScott,LonneElderIII,RichardPryor,UnitedStates,11000000.0,31261269.0,UniversalPictures,94.0,May,93
Heartbeeps,Comedy,1981,4.3,1300.0,AllanArkush,JohnHill,AndyKaufman,UnitedStates,12000000.0,2154696.0,UniversalPictures,78.0,December,94
TakeThisJobandShoveIt,Comedy,1981,5.0,761.0,GusTrikonis,BarrySchneider,RobertHays,UnitedStates,3500000.0,17569027.0,CinemaGroupVentures,100.0,May,95
WhoseLifeIsItAnyway?,Comedy,1981,7.3,2700.0,JohnBadham,BrianClark,RichardDreyfuss,UnitedStates,13000000.0,8206145.0,Metro-Goldwyn-Mayer(MGM),119.0,January,96
Inchon,Drama,1981,2.7,659.0,TerenceYoung,RobinMoore,LaurenceOlivier,SouthKorea,46000000.0,5200986.0,OneWayProductions,140.0,September,97
AllNightLong,Comedy,1981,5.5,1700.0,Jean-ClaudeTramont,WDRichter,GeneHackman,UnitedStates,14000000.0,4454295.0,UniversalPictures,87.0,March,98
ThePursuitofDBCooper,Adventure,1981,5.6,1100.0,RogerSpottiswoode,JDReed,RobertDuvall,UnitedStates,12000000.0,3702028.0,PolyGramPictures,100.0,November,99
Rollover,Drama,1981,5.4,1100.0,AlanJPakula,HowardKohn,JaneFonda,UnitedStates,16000000.0,10851261.0,IPCFilms,116.0,December,100
HonkyTonkFreeway,Action,1981,5.2,928.0,JohnSchlesinger,EdwardClinton,DavidRasche,UnitedStates,24000000.0,2004742.0,EMIFilms,107.0,August,101
KingoftheMountain,Action,1981,5.5,384.0,NoelNosseck,DavidBarry,HarryHamlin,UnitedStates,2000000.0,1791147.0,PolyGramPictures,90.0,May,102
FastTimesatRidgemontHigh,Comedy,1982,7.2,98000.0,AmyHeckerling,CameronCrowe,SeanPenn,UnitedStates,4500000.0,27092880.0,UniversalPictures,90.0,August,103
BladeRunner,Action,1982,8.1,710000.0,RidleyScott,HamptonFancher,HarrisonFord,UnitedStates,28000000.0,41676878.0,TheLaddCompany,117.0,June,104
TheThing,Horror,1982,8.1,382000.0,JohnCarpenter,BillLancaster,KurtRussell,UnitedStates,15000000.0,19632053.0,UniversalPictures,109.0,June,105
ConantheBarbarian,Action,1982,6.9,141000.0,JohnMilius,RobertEHoward,ArnoldSchwarzenegger,UnitedStates,20000000.0,68851475.0,UniversalPictures,129.0,May,106
ETtheExtra-Terrestrial,Family,1982,7.8,381000.0,StevenSpielberg,MelissaMathison,HenryThomas,UnitedStates,10500000.0,792910554.0,UniversalPictures,115.0,June,107
FirstBlood,Action,1982,7.7,234000.0,TedKotcheff,DavidMorrell,SylvesterStallone,UnitedStates,15000000.0,125212904.0,AnabasisNV,93.0,October,108
AnOfficerandaGentleman,Drama,1982,7.0,52000.0,TaylorHackford,DouglasDayStewart,RichardGere,UnitedStates,7500000.0,129795554.0,LorimarFilmEntertainment,124.0,August,109
Grease2,Comedy,1982,4.4,34000.0,PatriciaBirch,KenFinkleman,MichellePfeiffer,UnitedStates,13200000.0,15171476.0,ParamountPictures,115.0,June,110
Annie,Comedy,1982,6.6,41000.0,JohnHuston,CarolSobieski,AileenQuinn,UnitedStates,50000000.0,57063861.0,ColumbiaPictures,127.0,June,111
Poltergeist,Horror,1982,7.3,148000.0,TobeHooper,StevenSpielberg,JoBethWilliams,UnitedStates,10700000.0,77142388.0,Metro-Goldwyn-Mayer(MGM),114.0,June,112
48Hrs,Action,1982,6.9,73000.0,WalterHill,RogerSpottiswoode,NickNolte,UnitedStates,12000000.0,78868508.0,ParamountPictures,96.0,December,113
StarTrekII:TheWrathofKhan,Action,1982,7.7,115000.0,NicholasMeyer,GeneRoddenberry,WilliamShatner,UnitedStates,11200000.0,78912963.0,ParamountPictures,113.0,June,114
SophiesChoice,Drama,1982,7.6,44000.0,AlanJPakula,WilliamStyron,MerylStreep,UnitedKingdom,12000000.0,30036000.0,IncorporatedTelevisionCompany(ITC),150.0,March,115
Gandhi,Biography,1982,8.0,220000.0,RichardAttenborough,JohnBriley,BenKingsley,UnitedKingdom,22000000.0,52767889.0,InternationalFilmInvestors,191.0,February,116
Tootsie,Comedy,1982,7.4,100000.0,SydneyPollack,DonMcGuire,DustinHoffman,UnitedStates,21000000.0,177200000.0,ColumbiaPictures,116.0,December,117
Tron,Action,1982,6.8,115000.0,StevenLisberger,StevenLisberger,JeffBridges,UnitedStates,17000000.0,33000525.0,WaltDisneyProductions,96.0,July,118
TheSecretofNIMH,Animation,1982,7.6,37000.0,DonBluth,RobertCOBrien,ElizabethHartman,UnitedStates,7000000.0,14665733.0,Aurora,82.0,July,119
TheKingofComedy,Comedy,1982,7.8,94000.0,MartinScorsese,PaulDZimmerman,RobertDeNiro,UnitedStates,20000000.0,2536242.0,EmbassyInternationalPictures,109.0,February,120
RockyIII,Drama,1982,6.8,179000.0,SylvesterStallone,SylvesterStallone,SylvesterStallone,UnitedStates,17000000.0,125052686.0,Chartoff-WinklerProductions,99.0,May,121
TheBeastmaster,Action,1982,6.2,22000.0,DonCoscarelli,DonCoscarelli,MarcSinger,UnitedStates,8000000.0,14056528.0,LeisureInvestmentCompany,118.0,August,122
Creepshow,Comedy,1982,6.9,44000.0,GeorgeARomero,StephenKing,HalHolbrook,UnitedStates,8000000.0,21028755.0,UnitedFilmDistributionCompany(UFDC),120.0,November,123
TheManfromSnowyRiver,Adventure,1982,7.3,8200.0,GeorgeMiller,ABBanjoPaterson,KirkDouglas,Australia,3500000.0,20659423.0,CambridgeProductions,102.0,November,124
PinkFloyd:TheWall,Drama,1982,8.0,78000.0,AlanParker,RogerWaters,BobGeldof,UnitedKingdom,12000000.0,22265763.0,GoldcrestFilmsInternational,95.0,September,125
CatPeople,Fantasy,1982,6.2,20000.0,PaulSchrader,DeWittBodeen,NastassjaKinski,UnitedStates,18000000.0,7000000.0,RKOPictures,118.0,April,126
FannyandAlexander,Drama,1982,8.1,59000.0,IngmarBergman,IngmarBergman,BertilGuve,Sweden,6000000.0,6795771.0,CinematographAB,188.0,December,127
Fridaythe13thPartIII,Horror,1982,5.7,49000.0,SteveMiner,MartinKitrosser,DanaKimmell,UnitedStates,2300000.0,36690067.0,ParamountPictures,95.0,August,128
Firefox,Action,1982,6.0,26000.0,ClintEastwood,AlexLasker,ClintEastwood,UnitedStates,18000000.0,46708276.0,MajorStudioPartners,136.0,June,129
HalloweenIII:SeasonoftheWitch,Horror,1982,5.0,45000.0,TommyLeeWallace,TommyLeeWallace,TomAtkins,UnitedStates,2500000.0,14400000.0,DinoDeLaurentiisCompany,98.0,October,130
TheDarkCrystal,Adventure,1982,7.2,63000.0,JimHenson,DavidOdell,JimHenson,UnitedKingdom,15000000.0,41630431.0,IncorporatedTelevisionCompany(ITC),93.0,December,131
TheVerdict,Drama,1982,7.7,37000.0,SidneyLumet,BarryReed,PaulNewman,UnitedStates,16000000.0,53993738.0,TwentiethCenturyFox,129.0,December,132
Pieces,Horror,1982,6.1,9300.0,JuanPiquerSimon,DickRandall,ChristopherGeorge,Spain,300000.0,2032311.0,AlmenaFilms,85.0,September,133
TheWorldAccordingtoGarp,Comedy,1982,7.2,25000.0,GeorgeRoyHill,JohnIrving,RobinWilliams,UnitedStates,17000000.0,29712172.0,PanArts,136.0,July,134
Diner,Comedy,1982,7.1,19000.0,BarryLevinson,BarryLevinson,SteveGuttenberg,UnitedStates,5000000.0,14099953.0,Metro-Goldwyn-Mayer(MGM),110.0,May,135
TheBestLittleWhorehouseinTexas,Comedy,1982,6.0,10000.0,ColinHiggins,LarryLKing,BurtReynolds,UnitedStates,35000000.0,69701637.0,UniversalPictures,114.0,July,136
TheYearofLivingDangerously,Drama,1982,7.1,20000.0,PeterWeir,DavidWilliamson,MelGibson,Australia,13000000.0,10278575.0,Metro-Goldwyn-Mayer(MGM),115.0,February,137
TheLastUnicorn,Animation,1982,7.4,25000.0,JulesBass,PeterSBeagle,JeffBridges,UnitedKingdom,3500000.0,6455330.0,Rankin/BassProductions,92.0,November,138
TheEntity,Drama,1982,6.7,15000.0,SidneyJFurie,FrankDeFelitta,BarbaraHershey,UnitedStates,9000000.0,13277558.0,AmericanCinemaProductions,125.0,February,139
AirplaneII:theSequel,Comedy,1982,6.2,50000.0,KenFinkleman,KenFinkleman,RobertHays,UnitedStates,15000000.0,27150534.0,ParamountPictures,85.0,December,140
TheToy,Comedy,1982,5.8,11000.0,RichardDonner,FrancisVeber,RichardPryor,UnitedStates,17000000.0,47118057.0,ColumbiaPictures,102.0,December,141
TheHouseonSororityRow,Horror,1982,6.0,7800.0,MarkRosman,MarkRosman,KateMcNeil,UnitedStates,425000.0,10604986.0,VAEProductions,91.0,July,142
EvilUndertheSun,Crime,1982,7.1,15000.0,GuyHamilton,AnthonyShaffer,PeterUstinov,UnitedKingdom,10000000.0,6110670.0,EMIFilms,117.0,March,143
DeathWishII,Action,1982,6.0,15000.0,MichaelWinner,DavidEngelbach,CharlesBronson,UnitedStates,2000000.0,16100000.0,Golan-GlobusProductions,89.0,February,144
SilentRage,Action,1982,5.5,5300.0,MichaelMiller,JosephFraley,ChuckNorris,UnitedStates,4500000.0,10490791.0,ColumbiaPictures,103.0,April,145
Megaforce,Action,1982,3.7,3400.0,HalNeedham,BobKachler,BarryBostwick,HongKong,20000000.0,5675599.0,GoldenHarvestCompany,99.0,June,146
PersonalBest,Drama,1982,6.3,2600.0,RobertTowne,RobertTowne,MarielHemingway,UnitedStates,16000000.0,5672311.0,TheGeffenCompany,128.0,June,147
DeadMenDontWearPlaid,Comedy,1982,6.9,21000.0,CarlReiner,CarlReiner,SteveMartin,UnitedStates,9000000.0,18196170.0,AspenFilmSociety,88.0,May,148
AmityvilleII:ThePossession,Horror,1982,5.5,11000.0,DamianoDamiani,TommyLeeWallace,JamesOlson,Mexico,5000000.0,12534817.0,DinoDeLaurentiisCompany,104.0,September,149
Missing,Biography,1982,7.7,19000.0,Costa-Gavras,Costa-Gavras,JackLemmon,UnitedStates,9500000.0,14000000.0,PolyGramFilmedEntertainment,122.0,March,150
CanneryRow,Comedy,1982,6.7,3500.0,DavidSWard,JohnSteinbeck,NickNolte,UnitedStates,11300000.0,5301539.0,ChaiProductions,120.0,February,151
Tempest,Comedy,1982,6.5,2200.0,PaulMazursky,PaulMazursky,JohnCassavetes,UnitedStates,13000000.0,5005245.0,ColumbiaPictures,140.0,September,152
StilloftheNight,Crime,1982,6.1,4300.0,RobertBenton,RobertBenton,RoyScheider,UnitedStates,10000000.0,5979947.0,UnitedArtists,93.0,November,153
Parasite,Horror,1982,3.9,2300.0,CharlesBand,AlanJAdler,RobertGlaudini,UnitedStates,800000.0,2270.0,EmbassyPictures,85.0,March,154
HonkytonkMan,Comedy,1982,6.6,8200.0,ClintEastwood,ClancyCarlile,ClintEastwood,UnitedStates,2000000.0,4484991.0,TheMalpasoCompany,122.0,December,155
"ComeBacktothe5&DimeJimmyDean,JimmyDean",Comedy,1982,7.2,4200.0,RobertAltman,EdGraczyk,Cher,UnitedStates,850000.0,840958.0,Sandcastle5Productions,109.0,April,156
TheFinalOption,Action,1982,6.4,3000.0,IanSharp,GeorgeMarkstein,LewisCollins,Switzerland,6000000.0,2666873.0,RichmondLightHorseProductions,125.0,September,157
TrailofthePinkPanther,Comedy,1982,5.0,9800.0,BlakeEdwards,BlakeEdwards,PeterSellers,UnitedKingdom,6000000.0,9056073.0,UnitedArtists,96.0,December,158
TheBorder,Crime,1982,6.4,6100.0,TonyRichardson,DericWashburn,JackNicholson,UnitedStates,22000000.0,6118683.0,EferProductions,108.0,February,159
BestFriends,Comedy,1982,5.5,2700.0,NormanJewison,ValerieCurtin,BurtReynolds,UnitedStates,15000000.0,36821203.0,WarnerBros,116.0,December,160
